name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Ben Nguyen,16,8,0,165.1,56.7,165.1,Switch,3.51,40.0,3.01,59.0,0.25,33.0,63.0,1.0,36
Marilia Santos,10,3,0,162.56,56.7,162.56,Orthodox,4.4,54.0,4.07,53.0,1.0,100.0,66.0,1.0,32
James Hammortree,6,3,0,190.5,83.91,190.5,Orthodox,1.93,30.0,4.13,44.0,2.0,50.0,100.0,1.0,41
Michael Chiesa,18,7,0,185.42,77.11,190.5,Southpaw,1.87,40.0,1.7,54.0,3.33,50.0,60.0,1.0,37
Cole Province,6,2,0,175.26,65.77,172.72,Orthodox,1.47,44.0,2.72,43.0,2.4,50.0,83.0,1.0,44
Ivan Menjivar,25,12,0,167.64,65.77,162.56,Orthodox,2.78,37.0,2.76,65.0,0.56,28.0,38.0,1.0,42
Joe Duarte,10,4,0,178.23432467873064,70.31,180.70495018353435,Orthodox,2.27,38.0,4.0,53.0,3.0,50.0,69.0,1.0,38
Chris de la Rocha,5,3,0,190.5,113.4,203.2,Orthodox,4.08,45.0,6.37,43.0,2.02,30.0,33.0,1.0,45
Justin Edwards,9,5,0,177.8,70.31,177.8,Orthodox,2.68,42.0,3.32,51.0,2.14,26.0,27.0,1.0,42
DeAnna Bennett,8,3,1,162.56,56.7,172.72,Orthodox,3.13,58.0,3.27,58.0,0.0,0.0,0.0,1.0,40
Mu Bae Choi,12,6,0,187.96,104.33,187.96,Orthodox,1.55,49.0,3.65,44.0,3.12,75.0,60.0,1.0,54
Connor Matthews,7,1,0,172.72,65.77,180.34,Switch,5.13,44.0,5.57,55.0,3.5,58.0,50.0,1.0,32
Chalid Arrab,7,3,0,180.34,92.99,180.34,Orthodox,1.56,34.0,1.63,56.0,3.05,75.0,37.0,1.0,49
Lemont Davis,2,6,0,172.72,77.11,172.72,Orthodox,0.87,54.0,1.27,55.0,1.0,50.0,0.0,1.0,38
Gilbert Yvel,39,16,1,187.96,102.06,195.58,Orthodox,1.05,47.0,1.78,50.0,0.0,0.0,25.0,1.0,48
Vitor Petrino,10,0,0,187.96,92.99,195.58,Orthodox,3.07,48.0,2.65,43.0,4.15,70.0,68.0,1.0,27
Richie Vaculik,10,4,0,167.64,56.7,175.26,Orthodox,3.69,46.0,4.09,57.0,3.0,45.0,31.0,1.0,41
