name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age,strike_differential,win_percentage,weight_class
Michael Cora,4,1,0,185.42,77.11,195.58,Southpaw,0.8,28.0,0.13,66.0,0.0,0.0,25.0,0.0,35,0.67,0.8,Welterweight
Christina Marks,8,9,0,170.18,56.7,175.26,Orthodox,5.0,58.0,3.0,64.0,7.5,100.0,0.0,0.0,39,2.0,0.47058823529411764,Flyweight
Oliver Enkamp,7,2,0,182.88,77.11,195.58,Switch,2.38,36.0,3.55,37.0,0.87,16.0,0.0,0.0,33,-1.17,0.7777777777777778,Welterweight
Siala Siliga,12,5,0,185.42,131.54,185.42,Orthodox,1.08,26.0,1.96,50.0,1.47,50.0,80.0,0.0,54,-0.8799999999999999,0.7058823529411765,Heavyweight
Taneisha Tennant,5,1,0,170.18,65.77,177.8,Orthodox,5.67,55.0,3.4,71.0,0.0,0.0,100.0,0.0,35,2.27,0.8333333333333334,Featherweight
Mario Rivera,6,8,0,177.8,77.11,177.8,Orthodox,0.0,0.0,8.41,20.0,0.0,0.0,0.0,0.0,38,-8.41,0.42857142857142855,Welterweight
Dewey Cooper,2,1,0,178.23432467873064,92.99,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.6666666666666666,Light Heavyweight
Luis Santos,63,10,1,185.42,77.11,185.42,Southpaw,4.4,57.0,4.0,64.0,0.0,0.0,0.0,0.0,38,0.40000000000000036,0.8513513513513513,Welterweight
Jeremiah O'Neal,13,25,0,172.72,117.93,172.72,Orthodox,1.15,40.0,7.5,23.0,0.0,0.0,0.0,0.0,38,-6.35,0.34210526315789475,Light Heavyweight
Natalia Silva,16,5,1,162.56,56.7,165.1,Southpaw,5.2,48.0,2.23,65.0,0.68,33.0,92.0,0.0,28,2.97,0.7272727272727273,Flyweight
